name,price
"Juliette Has A Gun - Not A Perfume - 5ml Spray (75 Sprays),Juliette Has A Gun - Not A Perfume - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Elysium Pour Homme Cologne Roja Dove - 2ml Spray (30 Sprays),Elysium Pour Homme Cologne Roja Dove - 5ml Spray (75 Sprays),Elysium Pour Homme Cologne Roja Dove - 10ml Spray (150 Sprays)","[20.0, 40.0, 70.0]"
"Eau de Lacoste L.12.12. White Lacoste Blanc - 5ml Spray (75 Sprays),Eau de Lacoste L.12.12. White Lacoste Blanc - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Dolce&Gabbana Light Blue eau Intense Pour Femme - 5ml Spray (75 Sprays),Dolce&Gabbana Light Blue eau Intense Pour Femme - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Maison Francis Kurkdjian MFK Aqua Universalis EDT - 2ml Spray (30 Sprays),Maison Francis Kurkdjian MFK Aqua Universalis EDT - 5ml Spray (75 Sprays),Maison Francis Kurkdjian MFK Aqua Universalis EDT - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Maison Francis Kurkdjian MFK Amyris Homme - 2ml Spray (30 Sprays),Maison Francis Kurkdjian MFK Amyris Homme - 5ml Spray (75 Sprays),Maison Francis Kurkdjian MFK Amyris Homme - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Maison Francis Kurkdjian MFK Aqua Celestia Forte - 2ml Spray (30 Sprays),Maison Francis Kurkdjian MFK Aqua Celestia Forte - 5ml Spray (75 Sprays),Maison Francis Kurkdjian MFK Aqua Celestia Forte - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Le Labo The Noir 29 - 2ml Spray (30 Sprays),Le Labo The Noir 29 - 5ml Spray (75 Sprays),Le Labo The Noir 29 - 10ml Spray (150 Sprays)","[15.0, 35.0, 60.0]"
"Le Labo Patchouli 24 - 2ml Spray (30 Sprays),Le Labo Patchouli 24 - 5ml Spray (75 Sprays),Le Labo Patchouli 24 - 10ml Spray (150 Sprays)","[15.0, 35.0, 60.0]"
"Maison Francis Kurkdjian MFK Amyris Femme - 2ml Spray (30 Sprays),Maison Francis Kurkdjian MFK Amyris Femme - 5ml Spray (75 Sprays),Maison Francis Kurkdjian MFK Amyris Femme - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
