product_url,product_name,image_url,price
https://www.glassesshop.com/eyeglasses/fp2151,Dominic Purple/Floral Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5f9faec3362e6.jpg",$12.95
https://www.glassesshop.com/eyeglasses/sup1282,Chamomile Brown Round TR90 Sunglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202203/6244006ac349b.jpg",$24.95
https://www.glassesshop.com/eyeglasses/fp2384,Fitchburg Black Round TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202209/63106318046ae.jpg",$9.95
https://www.glassesshop.com/eyeglasses/fz1297,Hume Tortoise/Brown Oval Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp2522,Pasadena Crystal/Golden Oval TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202201/61dbe61575c31.jpg",$12.48
https://www.glassesshop.com/eyeglasses/fz1370,Maltz Petal Tortoise Square Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd88f69a.jpg",$29.95
https://www.glassesshop.com/eyeglasses/sm0860,Willie Black Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fp2111,Althea Tortoise/Pink Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202007/5f0d02e66cf0b.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fp1768,Belle Black Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201808/5b7e0ee2a1137.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fz1268,Genevieve Tortoise Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc509cc7c07.jpg",$34.95
https://www.glassesshop.com/eyeglasses/fp1841,Butler Black Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201904/5cb69b512d7b0.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fm1711,Aubrey Gunmetal Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202202/620a048369ad4.jpg",$24.95
https://www.glassesshop.com/eyeglasses/sup0622,Wilker Black Cat Eye Plastic Sunglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201904/5cb69b5e59b5c.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1297,Payne Gunmetal Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201808/5b72831004578.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1385,Riverside Black/Golden Oval Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d031896295ff.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fp2038,Fresno Tortoise Horn TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202107/60e6732319eaf.jpg",$12.95
https://www.glassesshop.com/eyeglasses/fz1207,Pete Tortoise Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b4c5f5d54841.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp1730,Grover Black Rectangle Ultem Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b3dd02194eeb.jpg",$34.95
https://www.glassesshop.com/eyeglasses/fp2319,Alberta Purple/Crystal Oval TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202109/614a997e94a70.jpg",$9.95
https://www.glassesshop.com/eyeglasses/fp2158,Indianapolis Tortoise Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fa8e947af13a.jpg",$9.95
https://www.glassesshop.com/eyeglasses/fp2183,Jacksonville Black/golden Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fc45741a56c5.jpg",$19.95
https://www.glassesshop.com/eyeglasses/sm0937,Mark Black Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202112/61adc0a1be88b.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp0989,Hillsborough Black/Chocolate Rectangle Plastic Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202101/5ff15557c070f.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fz1015,Iowa Black/Blue Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201707/595c863c38c17.jpg",$29.95
https://www.glassesshop.com/eyeglasses/sup0568,Gaskell Black Rectangle Metal Sunglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201811/5be91fb066b41.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fz1392,Endicott Black/Green Rectangle Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ffa72dbb0e.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp1694,Lexingto Crystal/Floral Cat Eye TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202106/60bdd99fb7511.jpg",$19.95
https://www.glassesshop.com/eyeglasses/sup0759,Christian Black Rectangle TR90 Sunglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202001/5e0eb47d12e4c.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fm1263,Rochester Black/Golden Oval Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg",$29.95
https://www.glassesshop.com/eyeglasses/fp2323,Miranda Black Cat Eye TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202106/60c8026e20465.jpg",$19.95
https://www.glassesshop.com/eyeglasses/fp1401,Holt Black Rectangle TR90 Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201708/59841308cc508.jpg",$19.95
https://www.glassesshop.com/eyeglasses/rm0247,Terre Golden Rectangle Metal Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201703/58c7556ccda85.jpg",$32.95
https://www.glassesshop.com/eyeglasses/fz1368,Leigh Petal Tortoise Oval Acetate Eyeglasses,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd885fb9.jpg",$29.95
